,source,title,episodes,score,favorites,genres,start_date,total_duration
84,light_novel,Suzumiya Haruhi no Shoushitsu,1.0,8.62,12682,"['Mystery', 'Sci-Fi', 'Supernatural']",2010-02-06,161
85,manga,Grand Blue,12.0,8.43,16556,['Comedy'],2018-07-14,291
86,novel,Perfect Blue,1.0,8.53,15358,"['Avant Garde', 'Drama', 'Horror']",1998-02-28,81
87,manga,Shokugeki no Souma,24.0,8.18,23019,"['Ecchi', 'Gourmet']",2015-04-04,600
88,manga,Banana Fish,24.0,8.5,26784,"['Action', 'Adventure', 'Drama']",2018-07-06,550
89,manga,Nichijou,26.0,8.46,21070,['Comedy'],2011-04-03,615
90,light_novel,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,13.0,8.22,15393,"['Comedy', 'Romance']",2015-04-03,312
91,manga,Kenpuu Denki Berserk,25.0,8.54,22698,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural']",1997-10-08,625
92,visual_novel,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,1.0,8.46,2415,"['Drama', 'Sci-Fi']",2013-04-20,90
93,manga,Horimiya,13.0,8.21,27799,['Romance'],2021-01-10,310
94,original,Death Parade,12.0,8.16,25928,"['Drama', 'Supernatural', 'Suspense']",2015-01-10,276
95,manga,Saiki Kusuo no Ψ-nan 2,24.0,8.44,3882,"['Comedy', 'Supernatural']",2018-01-17,576
96,manga,Kuroko no Basket 3rd Season,25.0,8.31,4824,['Sports'],2015-01-11,604
97,light_novel,Baccano!,13.0,8.38,22388,"['Action', 'Comedy', 'Mystery', 'Supernatural']",2007-07-27,320
98,manga,Mushishi,26.0,8.67,24772,"['Adventure', 'Fantasy', 'Mystery', 'Slice of Life', 'Supernatural']",2005-10-23,650
99,manga,Noragami Aragoto,13.0,8.17,11160,"['Action', 'Fantasy']",2015-10-03,314
100,manga,Hotarubi no Mori e,1.0,8.3,9598,"['Drama', 'Romance', 'Supernatural']",2011-09-17,45
101,manga,Dororo,24.0,8.23,17245,"['Action', 'Adventure', 'Supernatural']",2019-01-07,576
102,manga,Hajime no Ippo,75.0,8.75,17907,['Sports'],2000-10-04,1725
103,light_novel,Kizumonogatari III: Reiketsu-hen,1.0,8.8,6822,"['Action', 'Mystery', 'Supernatural']",2017-01-06,83
104,manga,Gintama°,51.0,9.08,14666,"['Action', 'Comedy', 'Sci-Fi']",2015-04-08,1224
105,light_novel,Kono Subarashii Sekai ni Shukufuku wo!,10.0,8.12,41238,"['Adventure', 'Comedy', 'Fantasy']",2016-01-14,236
106,light_novel,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,12.0,8.38,12672,"['Comedy', 'Romance']",2020-07-10,292
107,manga,Kuroko no Basket 2nd Season,25.0,8.23,4223,['Sports'],2013-10-06,600
108,manga,Yuu☆Yuu☆Hakusho,112.0,8.45,20126,"['Action', 'Comedy', 'Supernatural']",1992-10-10,2688
109,visual_novel,Fate/stay night: Unlimited Blade Works,12.0,8.19,15296,"['Action', 'Fantasy', 'Supernatural']",2014-10-12,336
110,light_novel,No Game No Life,12.0,8.1,46424,"['Comedy', 'Ecchi', 'Fantasy']",2014-04-09,276
111,manga,Dragon Ball Z,291.0,8.15,33416,"['Action', 'Adventure', 'Comedy', 'Fantasy']",1989-04-26,7032
112,manga,Gintama',51.0,9.05,7169,"['Action', 'Comedy', 'Sci-Fi']",2011-04-04,1241
113,light_novel,Toradora!,25.0,8.1,53508,"['Drama', 'Romance']",2008-10-02,600
114,web_manga,Barakamon,12.0,8.39,12084,['Slice of Life'],2014-07-06,274
115,manga,Ouran Koukou Host Club,26.0,8.16,31232,"['Comedy', 'Romance']",2006-04-05,607
116,light_novel,Kizumonogatari II: Nekketsu-hen,1.0,8.59,2194,"['Action', 'Mystery', 'Supernatural']",2016-08-19,64
117,manga,Fullmetal Alchemist,51.0,8.12,24723,"['Action', 'Adventure', 'Drama', 'Fantasy']",2003-10-04,1224
118,manga,Tensei shitara Slime Datta Ken,24.0,8.13,24281,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2018-10-02,568
119,manga,Ansatsu Kyoushitsu,22.0,8.1,27045,"['Action', 'Comedy']",2015-01-10,506
120,manga,Magi: The Kingdom of Magic,25.0,8.23,7387,"['Action', 'Adventure', 'Fantasy']",2013-10-06,625
121,manga,Boku no Hero Academia 3rd Season,25.0,8.08,12701,['Action'],2018-04-07,583
122,light_novel,No Game No Life: Zero,1.0,8.22,7252,"['Drama', 'Fantasy', 'Romance']",2017-07-15,106
